customer_id,site_id,year_month,risk_category,probability,risk_summary,primary_drivers,recommended_actions
CUST_01,CUST_01_SITE_1,2026-01-01,high,0.7023,"This site exhibits a high churn risk due to declining NPS scores and a negative trend in usage volume and bot performance. The combination of deterioration signals suggests a potential loss of customer engagement and satisfaction, necessitating immediate attention.","['nps_slope_3m', 'usage_slope_3m', 'bot_performance_slope_3m']","['Implement a proactive customer engagement campaign', 'Optimize bot performance and address underlying issues', 'Conduct a root cause analysis to understand the drivers of declining usage and NPS']"
CUST_07,CUST_07_SITE_1,2026-01-01,high,0.79728,"This site exhibits a high churn risk due to declining bot performance and uptime trends, coupled with a deterioration in support SLA. The consecutive rise in lack of RCA (Root Cause Analysis) is also a significant concern, indicating potential issues being overlooked.","['bot_performance_slope_3m', 'bot_uptime_slope_3m', 'lack_of_rca_consecutive_rise']","['Investigate and address the declining bot performance.', 'Improve bot uptime through proactive monitoring and maintenance.', 'Implement a robust RCA process to quickly identify and resolve underlying issues.']"
CUST_07,CUST_07_SITE_2,2026-01-01,medium,0.57837,"This site exhibits a medium churn risk due to a declining usage volume trend and a slight decrease in bot performance. The consecutive drop in NPS further indicates potential customer dissatisfaction, requiring immediate attention.","['usage_slope_3m', 'bot_performance_slope_3m', 'nps_slope_3m']","['Investigate the root cause of declining bot performance.', 'Proactively engage with customers to address NPS concerns.', 'Implement strategies to boost usage volume.']"
CUST_07,CUST_07_SITE_3,2026-01-01,medium,0.48067,"The site exhibits moderate churn risk due to a declining usage volume trend, coupled with a slight decrease in bot uptime. This suggests potential dissatisfaction and a need for proactive engagement to prevent further deterioration.","['usage_consecutive_drops', 'bot_uptime_slope_3m', 'support_sla_slope_3m']","['Implement personalized outreach to address declining usage.', 'Investigate and rectify the root cause of the bot uptime decline.', 'Monitor support SLA closely and proactively address potential issues.']"
CUST_07,CUST_07_SITE_4,2026-01-01,medium,0.66004,This site exhibits a medium risk level due to declining usage volume and a slight deterioration in bot performance. The recent usage drop warrants immediate attention to identify and address the root causes.,"['usage_consecutive_drops', 'bot_performance_slope_3m', 'metrics_snapshot_nps']","['Investigate usage decline trends', 'Optimize bot performance', 'Proactively address NPS feedback']"
CUST_07,CUST_07_SITE_5,2026-01-01,low,0.20367,"This site exhibits a slight deterioration in bot performance and a decreasing NPS score over the past 3 months, warranting close monitoring. While the overall risk remains low, the downward trend in key metrics suggests potential churn risks that require attention.","['bot_performance_slope_3m', 'nps_slope_3m', 'usage_slope_3m']","['Investigate the root cause of declining bot performance.', 'Proactively engage with customers to improve NPS scores.', 'Monitor usage volume trends to identify potential declines.']"
CUST_07,CUST_07_SITE_6,2026-01-01,low,0.32356,"This site exhibits a slightly negative behavior deterioration score and a moderate usage slope, indicating a potential decline in engagement. While the metrics snapshot remains largely stable, the recent rise in upgrade failures warrants close monitoring.","['usage_slope_3m', 'upgrade_failures_consecutive_rise', 'bot_performance_slope_3m']","['Proactive engagement outreach to high-value users', 'Investigate the root cause of upgrade failures', 'Monitor bot performance closely and optimize where possible']"
CUST_07,CUST_07_SITE_7,2026-01-01,low,0.29258,"This site exhibits a slight decline in usage volume over the past 3 months, coupled with a recent drop in overall usage. While the site's operational metrics remain largely stable, the trend suggests a potential for future churn.","['usage_slope_3m', 'usage_consecutive_drops', 'bot_uptime_slope_3m']","['Increase engagement efforts', 'Monitor bot uptime closely', 'Proactively reach out to users']"
CUST_08,CUST_08_SITE_1,2026-01-01,low,0.25921,"This site exhibits a slightly deteriorating trend with decreasing NPS scores and usage volume, indicating a potential risk of churn. While the site currently has acceptable uptime and support SLA, the recent negative trends warrant attention.","['nps_slope_3m', 'usage_consecutive_drops', 'usage_slope_3m']","['Proactively reach out to the customer to understand NPS feedback.', 'Implement targeted engagement campaigns to increase usage.', 'Monitor usage closely and address any further drops immediately.']"
CUST_08,CUST_08_SITE_2,2026-01-01,low,0.37199,"This site exhibits a slight decline in usage volume over the past 3 months, coupled with a minor deterioration in bot performance and uptime. While the overall NPS remains strong, the decreasing usage trend warrants close monitoring and proactive engagement to prevent further drop-off.","['usage_consecutive_drops', 'bot_performance_slope_3m', 'usage_slope_3m']","['Implement targeted engagement campaigns to reactivate dormant users.', 'Optimize bot performance through further tuning and testing.', 'Analyze user behavior to understand the drivers of usage decline.']"
